Lift,                       Weight,     Number of Reps,     Number of Sets,     Date,            Comment
Back Squat,                 160,        8,                  1,                  20-JAN-2015,    
Front Squat,                145,        8,                  1,                  20-JAN-2015,    
Overhead Squat,             0,          0,                  0,                  20-JAN-2015,    
Clean,                      115,        8,                  1,                  20-JAN-2015,    
Power Clean,                115,        8,                  1,                  20-JAN-2015,    
Shoulder Press,             85,         8,                  1,                  20-JAN-2015,    
Push Press,                 115,        8,                  1,                  20-JAN-2015,    
Push Jerk,                  95,         8,                  1,                  20-JAN-2015,    
Snatch,                     65,         8,                  1,                  20-JAN-2015,    
Squat Thruster,             95,         8,                  1,                  20-JAN-2015,    
Deep Back Squat,            0,          0,                  0,                  20-JAN-2015,    
Deadlift,                   215,        8,                  1,                  20-JAN-2015,    
Sumo Deadlift High Pull,    115,        8,                  1,                  20-JAN-2015,    
Back Squat,                 135,        8,                  3,                  22-JAN-2015,
Front Squat,                65,         8,                  4,                  22-JAN-2015,
Decline Bench Press,        145,        8,                  4,                  22-JAN-2015,
Flat Bench Press,           115,        8,                  4,                  22-JAN-2015,
Incline Bench Press,        75,         8,                  3,                  22-JAN-2015,
Deadlift,                   205,        8,                  3,                  27-JAN-2015,
Back Squat,                 155,        8,                  3,                  27-JAN-2015,
Shoulder Press,             75,         8,                  3,                  27-JAN-2015,
Decline Bench Press,        135,        8,                  3,                  27-JAN-2015,
Overhead Squat,             45,         8,                  3,                  29-JAN-2015,     Need more flexibility!
Squat Clean,                105,        8,                  3,                  29-JAN-2015,
Front Squat,                105,        8,                  3,                  29-JAN-2015,
Flat Bench Press,           135,        8,                  3,                  29-JAN-2015,


