Weight,        Units,        Time_of_the_day,        Date,
203.0,         lbs,          Morning,                29-JAN-2015
206.0,         lbs,          Evening,                29-JAN-2015
203.6,         lbs,          Morning,                30-JAN-2015
199.4,         lbs,          Morning,                03-FEB-2015
201.6,         lbs,          Morning,                04-FEB-2015
201.4,         lbs,          Morning,                05-FEB-2015
202.6,         lbs,          Morning,                10-FEB-2015
204.0,         lbs,          Morning,                27-FEB-2015
202.4,         lbs,          Morning,                05-MAR-2015
204.4,         lbs,          Morning,                10-MAR-2015

